Source,Target,Weight
ethereum,bitcoin,0.0
tether,bitcoin,0.0
binance-coin,bitcoin,0.0
usd-coin,bitcoin,0.0
ripple,bitcoin,0.0
okb,bitcoin,0.0
cardano,bitcoin,0.0
dogecoin,bitcoin,0.0
matic-network,bitcoin,0.0
litecoin,bitcoin,0.0
tron,bitcoin,0.0
wrapped-bitcoin,bitcoin,0.38571663957491853
dai,bitcoin,0.0
phx,bitcoin,0.0
cosmos,bitcoin,0.0
chainlink,bitcoin,0.0
unus-sed-leo,bitcoin,0.0
ethereum-classic,bitcoin,0.0
monero,bitcoin,0.7395357895064517
bitcoin-cash,bitcoin,0.0
stellar,bitcoin,0.0
qnt,bitcoin,0.0
cro,bitcoin,0.0
vet,bitcoin,0.0
dfn,bitcoin,0.0
eos,bitcoin,0.0
decentraland,bitcoin,0.0
fantom,bitcoin,0.0
tezos,bitcoin,0.0
theta-token,bitcoin,0.0
blockstack,bitcoin,0.0
maker,bitcoin,0.0
neo,bitcoin,0.0
kucoin-shares,bitcoin,0.0
huobi-token,bitcoin,0.0
havven,bitcoin,0.0
trueusd,bitcoin,0.0
bitcoin-cash-sv,bitcoin,0.0
dash,bitcoin,0.0
gatechain,bitcoin,0.0
gusd,bitcoin,0.0
moonx,bitcoin,0.0
cotrader,bitcoin,0.0
zcash,bitcoin,0.0
enjin-coin,bitcoin,0.0
zilliqa,bitcoin,0.0
loopring,bitcoin,0.0
xinfin-network,bitcoin,0.0
basic-attention-token,bitcoin,0.0
nem,bitcoin,0.0
nexo,bitcoin,0.0
holo,bitcoin,0.0
decred,bitcoin,0.0
thetafuel,bitcoin,0.0
qtum,bitcoin,0.0
ravencoin,bitcoin,0.0
bitcoin-gold,bitcoin,0.0
fetch-ai,bitcoin,0.0
ankr-network,bitcoin,0.0
blox,bitcoin,0.0
gnosis-gno,bitcoin,0.0
iostoken,bitcoin,0.0
golem-network-tokens,bitcoin,0.0
iotex,bitcoin,0.0
waves,bitcoin,0.0
eur-tether,bitcoin,0.0
omisego,bitcoin,0.0
0x,bitcoin,0.0
icon,bitcoin,0.0
siacoin,bitcoin,0.0
zelcash,bitcoin,0.0
ontology,bitcoin,0.0
swissborg,bitcoin,0.0
mxtoken,bitcoin,0.0
reserve-protocol,bitcoin,0.0
bora-ecosystem,bitcoin,0.0
telcoin,bitcoin,0.0
ocean-protocol,bitcoin,0.0
celsius,bitcoin,0.0
polymath-network,bitcoin,0.0
wax,bitcoin,0.0
digibyte,bitcoin,0.0
livepeer,bitcoin,0.0
lisk,bitcoin,0.0
rif,bitcoin,0.8857076923351807
zencash,bitcoin,0.0
aelf,bitcoin,0.0
stasis-eurs,bitcoin,0.0
rlc,bitcoin,0.0
constellation,bitcoin,0.0
origintrail,bitcoin,0.0
coinextoken,bitcoin,0.0
republic-protocol,bitcoin,0.0
syscoin,bitcoin,0.0
numeraire,bitcoin,0.0
nano,bitcoin,0.0
ethos,bitcoin,0.0
function-x,bitcoin,0.0
medibloc,bitcoin,0.0
dent,bitcoin,0.0
status,bitcoin,0.0
celer-network,bitcoin,0.0
ergo,bitcoin,0.0
mass-vehicle-ledger,bitcoin,0.0
aragon,bitcoin,0.0
ontology-gas,bitcoin,0.0
orbs,bitcoin,0.0
humanscape,bitcoin,0.0
ardor,bitcoin,0.0
steem,bitcoin,0.0
civic,bitcoin,0.0
mir,bitcoin,0.0
everipedia,bitcoin,0.0
